nome,paese,regione,sub_regione,tipo_partecipazione,data_inizio,data_fine,personale_militare,personale_civile,personale_totale,costo_totale,tipo_missione,commitment,is_active
Cooperazione tecnica Angola,Angola,Africa Sub-sahariana,Africa Australe,mil,2017-01-01,2025-12-31,50.0,0.0,50,25000000,Bilaterale,Advisory/Training,False
EUFOR ALTHEA,Bosnia ed Erzegovina,Europa,Balcani,mil,2004-12-02,2025-12-31,600.0,100.0,700,80000000,UE,Troops,True
MIADIT,Palestina,Medio Oriente,Territori Palestinesi,civmil,2015-01-01,2025-12-31,50.0,100.0,150,30000000,Bilaterale,Advisory/Training,False
EUNAVFOR ATALANTA,Oceano Indiano,Africa,Corno d'Africa,mil,2008-12-08,2025-12-31,200.0,50.0,250,40000000,UE,Troops (Naval),True
Enhanced Vigilance Activities,Slovacchia,Europa,Europa Centrale,mil,2022-01-01,2025-12-31,300.0,50.0,350,50000000,NATO,Troops,False
Forward Land Forces,Polonia,Europa,Europa Orientale,mil,2022-01-01,2025-12-31,400.0,50.0,450,60000000,NATO,Troops,False
Sea Guardian,Mediterraneo,Europa,Mediterraneo,mil,2016-11-09,2025-12-31,250.0,30.0,280,45000000,NATO,Troops (Naval),True
Air Policing,Baltico,Europa,Baltico,mil,2004-01-01,2025-12-31,150.0,20.0,170,30000000,NATO,Troops (Air),False
MPCC UE,Bruxelles,Europa,Belgio,civ,2017-06-08,2025-12-31,50.0,100.0,150,25000000,UE,Logistical Support & Advisory,False
CRRTs UE,Varie,Europa,Varie,civ,2020-01-01,2025-12-31,30.0,70.0,100,20000000,UE,Advisory/Training,False
NATO Air Defense System,Europa,Europa,Europa Occidentale,mil,1949-04-04,1991-12-25,5000.0,1000.0,6000,500000000,NATO,Air Defense,False
NATO Maritime Patrol,Atlantico del Nord,Europa,Atlantico,mil,1949-04-04,1991-12-25,3000.0,500.0,3500,300000000,NATO,Maritime Patrol,False
NATO Ground Forces Europe,Europa,Europa,Europa Centrale,mil,1949-04-04,1991-12-25,15000.0,2000.0,17000,1000000000,NATO,Ground Forces,False
NATO Nuclear Deterrence,Europa,Europa,Europa Occidentale,mil,1949-04-04,1991-12-25,2000.0,500.0,2500,200000000,NATO,Nuclear Deterrence,False
Operation Anchor Guard,Turchia,Europa,Europa Orientale,mil,1990-08-15,1991-03-15,800.0,200.0,1000,50000000,NATO,Air Defense,False
Operation Ace Guard,Turchia,Europa,Europa Orientale,mil,1990-08-15,1991-03-15,600.0,150.0,750,40000000,NATO,Air Defense,False
Operation Desert Shield Support,Medio Oriente,Medio Oriente,Golfo Persico,mil,1990-08-07,1991-02-28,1200.0,300.0,1500,80000000,NATO,Logistical Support,False
NATO Standing Naval Forces,Atlantico del Nord,Europa,Atlantico,mil,1968-01-01,1991-12-25,2000.0,300.0,2300,150000000,NATO,Naval Forces,False
NATO AWACS,Europa,Europa,Europa Occidentale,mil,1982-01-01,1991-12-25,1500.0,400.0,1900,120000000,NATO,Airborne Warning,False
NATO Rapid Reaction Force,Europa,Europa,Europa Centrale,mil,1982-01-01,1991-12-25,5000.0,800.0,5800,400000000,NATO,Rapid Reaction,False
Mandato ONU in Somalia,Somalia,Sub-Saharan Africa,Non specificata,civmil,1950-02-12 00:00:00,,100.0,50.0,150,25000000,UN,Troops,False
